Column 1,Compte_Twitter,geoloc,lat,long,ville,nbre_oeuvre
Berneval-le-Grand,NON,"49.958055555556,1.1877777777778",49.958055555556,1.1877777777778,Berneval-le-Grand,1
Bezons,OUI,"48.925555555556,2.2169444444444",48.925555555556,2.2169444444444,Bezons,1
Biarritz,OUI,"43.480555555556,-1.5572222222222",43.480555555556,-1.5572222222222,Biarritz,1
Blois,OUI,"47.593055555556,1.3272222222222",47.593055555556,1.3272222222222,Blois,1
La Bonneville,NON,"49.392222222222,-1.4541666666667",49.392222222222,-1.4541666666667,Bonneville,1
Boulogne-sur-Mer,OUI,"50.725555555556,1.6138888888889",50.725555555556,1.6138888888889,Boulogne-sur-Mer,1
,OUI,,,,,
Boult-sur-Suippe,NON,"49.370833333333,4.1455555555556",49.370833333333,4.1455555555556,Boult-sur-Suippe,1
Bourré,NON,"47.347222222222,1.2263888888889",47.347222222222,1.2263888888889,Bourré,1
Bourron-Marlotte,NON,"48.341111111111,2.7077777777778",48.341111111111,2.7077777777778,Bourron-Marlotte,1
Bouxwiller,NON,"48.825277777778,7.4827777777778",48.825277777778,7.4827777777778,Bouxwiller,1
Brie-Comte-Robert,NON,"48.6925,2.6111111111111",48.6925,2.6111111111111,Brie-Comte-Robert,1
Brousse,NON,"45.971944444444,2.4558333333333",45.971944444444,2.4558333333333,Brousse,1
Cabourg,OUI,"49.288333333333,-0.11638888888889",49.288333333333,-0.11638888888889,Cabourg,1
Caen,OUI,"49.18138888888889,-0.3636111111111111",49.18138888888889,-0.3636111111111111,Caen,1
Cahors,OUI,"44.4475,1.4405555555556",44.4475,1.4405555555556,Cahors,1
Cailhau,NON,"43.147222222222,2.1363888888889",43.147222222222,2.1363888888889,Cailhau,1
Cancale,NON,"48.676666666667,-1.8519444444444",48.676666666667,-1.8519444444444,Cancale,1
Cannes,OUI,"43.5525,7.0213888888889",43.5525,7.0213888888889,Cannes,1
Carrières-sur-Seine,OUI,"48.908055555556,2.1780555555556",48.908055555556,2.1780555555556,Carrières-sur-Seine,1
Cassis,NON,"43.215555555556,5.5372222222222",43.215555555556,5.5372222222222,Cassis,1
Châlons-en-Champagne,OUI,"48.956666666667,4.3644444444444",48.956666666667,4.3644444444444,Châlons-en-Champagne,1
Châlons-sur-Vesle,NON,"49.289444444444,3.9166666666667",49.289444444444,3.9166666666667,Châlons-sur-Vesle,1
Champigny,NON,"48.319444444444,3.1275",48.319444444444,3.1275,Champigny,1
Andilly,NON,"46.253055555556,-1.0266666666667",46.253055555556,-1.0266666666667,Charente-Maritime (17),1
Charmeil,NON,"46.161388888889,3.3930555555556",46.161388888889,3.3930555555556,Charmeil,1
Châtillon-sur-Saône,NON,"47.948333333333,5.8847222222222",47.948333333333,5.8847222222222,Châtillon-sur-Saône,1
Clairvaux-les-Lacs,NON,"46.575,5.7491666666667",46.575,5.7491666666667,Clairvaux-les-Lacs,1
Clamart,OUI,"48.800833333333,2.2619444444444",48.800833333333,2.2619444444444,Clamart,1
,OUI,,,,,
Clohars-Carnoët,NON,"47.795833333333,-3.5858333333333",47.795833333333,-3.5858333333333,Clohars-Carnoët,1
Colombes,OUI,"48.923611111111,2.2522222222222",48.923611111111,2.2522222222222,Colombes,1
Courcelles-en-Montagne,NON,"47.837222222222,5.2230555555556",47.837222222222,5.2230555555556,Courcelles-en-Montagne,1
Courrières,NON,"50.458055555556,2.9472222222222",50.458055555556,2.9472222222222,Courrières,1
Crécy-la-Chapelle,NON,"48.858888888889,2.9075",48.858888888889,2.9075,Crécy-la-Chapelle,1
Damvillers,NON,"49.342777777778,5.3997222222222",49.342777777778,5.3997222222222,Damvillers,1
Dinard,OUI,"48.6325,-2.0616666666667",48.6325,-2.0616666666667,Dinard,1
Diou,NON,"46.534444444444,3.7444444444444",46.534444444444,3.7444444444444,Diou,1
Draveil,NON,"48.686111111111,2.4094444444444",48.686111111111,2.4094444444444,Draveil,1
Druillat,NON,"46.06,5.3172222222222",46.06,5.3172222222222,Druillat,1
Dunkirk,OUI,"51.037777777778,2.3763888888889",51.037777777778,2.3763888888889,Dunkerque,1
Ennery,NON,"49.226111111111,6.2166666666667",49.226111111111,6.2166666666667,Ennery,1
Épinay-sur-Orge,NON,"48.673888888889,2.3272222222222",48.673888888889,2.3272222222222,Epinay-sur-Orge,1
Évecquemont,NON,"49.013888888889,1.9444444444444",49.013888888889,1.9444444444444,Evecquemont,1
Fère-en-Tardenois,NON,"49.199444444444,3.5175",49.199444444444,3.5175,Fère-en-Tardenois,1
Fervaques,NON,"49.041111111111,0.25388888888889",49.041111111111,0.25388888888889,Fervaques,1
Paris,OUI,"48.85666666666667,2.352222222222222",48.85666666666667,2.352222222222222,France,1
,OUI,,,,,
Gien,NON,"47.698055555556,2.625",47.698055555556,2.625,Gien,1
Gisors,NON,"49.280555555556,1.7763888888889",49.280555555556,1.7763888888889,Gisors,1
Gruissan,NON,"43.106944444444,3.0883333333333",43.106944444444,3.0883333333333,Gruissan,1
Guebwiller,NON,"47.9075,7.2102777777778",47.9075,7.2102777777778,Guebwiller,1
Guérande,OUI,"47.328055555556,-2.4291666666667",47.328055555556,-2.4291666666667,Guérande,1
Harfleur,NON,"49.506666666667,0.19805555555556",49.506666666667,0.19805555555556,Harfleur,1
Héauville,NON,"49.581111111111,-1.8",49.581111111111,-1.8,Héauville,1
Houlgate,NON,"49.300833333333,-0.077222222222222",49.300833333333,-0.077222222222222,Houlgate,1
Huningue,OUI,"47.591388888889,7.5830555555556",47.591388888889,7.5830555555556,Huningue,1
Hyères,OUI,"43.118888888889,6.1286111111111",43.118888888889,6.1286111111111,Hyères,1
Issoudun,NON,"46.948055555556,1.9933333333333",46.948055555556,1.9933333333333,Issoudun,1
Ivry-sur-Seine,OUI,"48.813888888889,2.3877777777778",48.813888888889,2.3877777777778,Ivry-sur-Seine,1
Jobourg,NON,"49.682777777778,-1.9038888888889",49.682777777778,-1.9038888888889,Jobourg,1
L'Étang-la-Ville,NON,"48.868888888889,2.0711111111111",48.868888888889,2.0711111111111,L'Etang-la-Ville,1
L'Île-d'Yeu,NON,"46.724166666667,-2.3483333333333",46.724166666667,-2.3483333333333,L'île d'Yeu,1
La Berthenoux,NON,"46.661111111111,2.0619444444444",46.661111111111,2.0619444444444,La Berthenoux,1
La Roche-Morey,NON,"47.709444444444,5.7411111111111",47.709444444444,5.7411111111111,La Roche-Morey,1
Lagny-sur-Marne,OUI,"48.878055555556,2.7066666666667",48.878055555556,2.7066666666667,Lagny-sur-Marne,1
Laguépie,NON,"44.144444444444,1.97",44.144444444444,1.97,Laguépie,1
Lassay-les-Châteaux,NON,"48.4375,-0.49611111111111",48.4375,-0.49611111111111,Lassay-les-Châteaux,1
Le Bourget-du-Lac,NON,"45.648333333333,5.8597222222222",45.648333333333,5.8597222222222,Le Bourget,1
Le Bourget-du-Lac,NON,"45.648333333333,5.8597222222222",45.648333333333,5.8597222222222,Le Bourget-du-Lac,1
Le Vésinet,OUI,"48.893888888889,2.1322222222222",48.893888888889,2.1322222222222,Le Vésinet,1
